,Title,Date,Venue,Link
157,The Mark Of Cain Play Ill At Ease,2024-01-19,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/e6e7dab8-5d97-45ef-8510-4f1d0192992c?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
158,Wallis Bird (IRL),2024-01-19,Northcote Social Club,https://tickets.northcotesocialclub.com/outlet/event/c1173863-f464-4987-8a70-cffa49b6b188?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Northcote Social Club
159,Mathilde Anne & Des Cortez 'Break' Single Launch,2024-01-19,The Toff in Town,https://www.moshtix.com.au/v2/event/mathilde-anne-des-cortez-break-single-launch/159787
160,Cosmic Psychos & ZEKE (USA) Australian Tour,2024-01-20,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/ad6aa39c-25d0-41ef-9313-ccbf7ed10742?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
161,Ivan Ooze (EP Launch),2024-01-20,Northcote Social Club,https://tickets.northcotesocialclub.com/outlet/event/a2dd38fb-8ff5-49a3-aece-1d080d65e210?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Northcote Social Club
162,GREG PUCIATO (USA) Australian tour,2024-01-20,Max Watt's Melbourne,https://tickets.oztix.com.au/outlet/event/13e0ee93-8ca3-4a63-9907-85daae806e41?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Max Watt's Melbourne
163,KALOPSIA: VOLUME 1.5 ft. THE REGIME (Syd) + ALEXANDER FLOOD (Adl) + SEX ON TOAST + MORE,2024-01-20,Northcote Theatre,https://www.moshtix.com.au/v2/event/kalopsia-volume-1-5-ft-the-regime-syd-alexander-flood-adl-sex-on-toast/154703
164,The Talking Heads Experience,2024-01-20,Corner Hotel,https://tickets.cornerhotel.com/outlet/event/f44302fc-c523-4f74-98fb-a649a18b6df3?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Corner Hotel
165,Shouse,2024-01-20,The Night Cat,https://www.moshtix.com.au/v2/event/shouse/160197
166,Nu.Techno,2024-01-21,Howler,https://www.moshtix.com.au/v2/event/nu-techno/160212
167,John Floreani,2024-01-21,Northcote Social Club,https://tickets.northcotesocialclub.com/outlet/event/78f53281-16a4-42ba-9377-727196dfad21?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Northcote Social Club
168,Gracie Abrams,2024-01-22,Forum Melbourne,/shows/show.aspx?sh=GRACIEA24&v=FRM
169,Lord Huron,2024-01-22,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/fad37ea7-5a99-4d01-9b66-93669dfffe1e?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
170,Ryan Adams,2024-01-24,Forum Melbourne,/shows/show.aspx?sh=RYANADAM24&v=FRM
171,Sea Girls (UK),2024-01-25,Corner Hotel,https://tickets.cornerhotel.com/outlet/event/437cd34a-5af8-4c33-9237-7755344597d0?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Corner Hotel
172,The Angels (50 Years In The Making),2024-01-26,Corner Hotel,https://tickets.cornerhotel.com/outlet/event/90d10ede-4b65-43bf-b103-ad8af4926682?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Corner Hotel
173,"'Moments' Melbourne w/ Guy Mantzur, Roy Rosenfeld, Anthony Pappa & Eric Lune",2024-01-26,Howler,https://www.moshtix.com.au/v2/event/moments-melbourne-w-guy-mantzur-roy-rosenfeld-anthony-pappa-eric-lune/159696
174,Blackstreet & Montell Jordan,2024-01-26,Forum Melbourne,/shows/show.aspx?sh=BLACKST24&v=FRM
175,ANBERLIN (USA) - 2ND SHOW - Performing 'Never Take Friendship Personal' and 'Cities' in Full,2024-01-27,Northcote Theatre,https://www.moshtix.com.au/v2/event/anberlin-usa-2nd-show-performing-never-take-friendship-personal-and-citi/158747
176,Lord Huron,2024-01-27,Forum Melbourne,/shows/show.aspx?sh=LORDHUR24&v=FRM
177,Lewis Coleman (‘Offline’ Album Launch),2024-01-27,Northcote Social Club,https://tickets.northcotesocialclub.com/outlet/event/08954bca-a5bd-4382-bc61-2f2151a537cc?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Northcote Social Club
178,LULUC 'Diamonds' ALBUM LAUNCH,2024-01-28,Howler,https://www.moshtix.com.au/v2/event/luluc-diamonds-album-launch/159525
179,ANBERLIN (USA),2024-01-28,Northcote Theatre,https://www.moshtix.com.au/v2/event/anberlin-usa/158362
180,Gregory Alan Isakov,2024-01-28,Forum Melbourne,/shows/show.aspx?sh=GREGALI24&v=FRM
181,The Breeders,2024-01-29,Forum Melbourne,/shows/show.aspx?sh=BREEDERS24&v=FRM
182,Faye Webster,2024-01-31,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/663a6ecf-d3ab-4ac0-87a9-cc5c1d0eebe8?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
183,Texas,2024-01-31,Forum Melbourne,/shows/show.aspx?sh=TEXAS24&v=FRM
184,RAYE,2024-02-01,Forum Melbourne,/shows/show.aspx?sh=RAYE24&v=FRM
185,Milky Chance,2024-02-02,Forum Melbourne,/shows/show.aspx?sh=MILKCHAN24&v=FRM
186,Hemlocke Springs (USA),2024-02-02,The Night Cat,https://www.moshtix.com.au/v2/event/hemlocke-springs-usa/158868
187,Tijuana Cartel 'Alectura' album tour,2024-02-03,Howler,https://www.moshtix.com.au/v2/event/tijuana-cartel-alectura-album-tour/156742
188,Jaal,2024-02-03,Northcote Social Club,https://tickets.northcotesocialclub.com/outlet/event/2b331527-962d-4aea-a80e-d9685d538118?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Northcote Social Club
189,Noiseworks,2024-02-03,Forum Melbourne,/shows/show.aspx?sh=NOISEWOR24&v=FRM
190,Rise Against,2024-02-04,Forum Melbourne,/shows/show.aspx?sh=RISEAGAI24&v=FRM
191,WEDNESDAY 13 perform MURDERDOLLS,2024-02-04,Max Watt's Melbourne,https://tickets.oztix.com.au/outlet/event/bc460e8b-f555-4101-b2d2-ea8724e3f3e0?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Max Watt's Melbourne
192,WEST COAST WEDNESDAYS,2024-02-07,The Toff in Town,https://www.moshtix.com.au/v2/event/west-coast-wednesdays/159966
193,AJ Tracey,2024-02-08,Forum Melbourne,/shows/show.aspx?sh=AJTRACEY24&v=FRM
194,Paris Texas (USA),2024-02-08,The Night Cat,https://www.moshtix.com.au/v2/event/paris-texas-usa/158806
