,Title,Date,Venue,Link
24,Tammy Haider w/Standard American Diet & Pretty In Pink,2023-04-28,Brunswick Ballroom,https://www.moshtix.com.au/v2/event/tammy-haider-w-standard-american-diet-pretty-in-pink/150667
25,Sophie May (AUS/UK) ‘Australian Tour’,2023-04-28,Northcote Social Club,https://tickets.northcotesocialclub.com/outlet/event/a878d466-a8d9-494a-81d6-33e48b93e426?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Northcote Social Club
26,BIG WETT – NUMBER 1 PUSSY – NAARM / MELB SECOND & FINAL SHOW,2023-04-28,The Night Cat,https://www.moshtix.com.au/v2/event/big-wett-–-number-1-pussy-–-naarm-melb-second-final-show/150873
27,Oh Bondage! Up Yours!,2023-04-28,Miscellania,https://events.humanitix.com/oh-bondage-up-yours
28,Virgin Mary Disco - Single Release Show,2023-04-28,280 Sydney Rd,https://www.eventbrite.com.au/e/virgin-mary-disco-single-release-show-tickets-604087922237?aff=ebdssbdestsearch
29,BEST OF HELMET 1989 - 2023,2023-04-28,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/94ba58f1-e08b-4963-9aba-a61d8224db76?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
30,PEACH PRC - MANIC DREAM PIXIE TOUR,2023-04-28,Northcote Theatre,https://www.moshtix.com.au/v2/event/peach-prc-manic-dream-pixie-tour/150181
31,Grace Woodroofe w/Josh Britto,2023-04-29,Brunswick Ballroom,https://www.moshtix.com.au/v2/event/grace-woodroofe-w-josh-britto/152063
32,PLEASURE PLANET : HYSTERIA,2023-04-29,Miscellania,https://events.humanitix.com/pleasure-planet-hysteria
33,Adalita,2023-04-29,Corner Hotel,https://tickets.cornerhotel.com/outlet/event/d8f93be0-b021-46bb-b0b8-deef45e99566?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Corner Hotel
34,BEST OF HELMET 1989 - 2023,2023-04-29,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/630b224a-5184-4002-8e40-7fb4904b3a28?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
35,BIG WETT - NUMBER 1 PUSSY TOUR [SOLD OUT],2023-04-29,The Night Cat,https://www.moshtix.com.au/v2/event/big-wett-number-1-pussy-tour-sold-out/150228
36,Polly and the Pockets,2023-04-29,280 Sydney Rd,https://www.eventbrite.com.au/e/polly-and-the-pockets-tickets-606873353537?aff=ebdssbdestsearch
37,PEACH PRC - MANIC DREAM PIXIE TOUR 2ND SHOW,2023-04-29,Northcote Theatre,https://www.moshtix.com.au/v2/event/peach-prc-manic-dream-pixie-tour-2nd-show/150364
38,Dr Sure's Unusual Practice + Kosmetika (Double Launch),2023-04-29,Northcote Social Club,https://tickets.northcotesocialclub.com/outlet/event/8fc1c7a5-8c13-4cd6-a955-fc36a36a55eb?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Northcote Social Club
39,SLEEP TOKEN (UK) - 2023 Australian Tour,2023-04-30,Northcote Theatre,https://www.moshtix.com.au/v2/event/sleep-token-uk-2023-australian-tour/148524
40,Sin City,2023-04-30,280 Sydney Rd,https://www.eventbrite.com.au/e/sin-city-tickets-616223821037?aff=ebdssbdestsearch
41,Philippa Nihill,2023-04-30,Brunswick Ballroom,https://www.moshtix.com.au/v2/event/philippa-nihill/150703
42,SUZI ‘I Hope You Can Hear Me Now’ TOUR,2023-04-30,Northcote Social Club,https://tickets.northcotesocialclub.com/outlet/event/f4f8b89e-9892-46ca-8959-02b77bfd8b74?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Northcote Social Club
43,Domingo Latino - Calle Luna,2023-04-30,The Night Cat,https://www.moshtix.com.au/v2/event/domingo-latino-calle-luna/151543
44,PEACH PRC - MANIC DREAM PIXIE TOUR 3RD SHOW,2023-05-01,Northcote Theatre,https://www.moshtix.com.au/v2/event/peach-prc-manic-dream-pixie-tour-3rd-show/150443
45,"‘Social Sanctuary’ with Romanie, Baby Velvet + Inlove Online",2023-05-01,Northcote Social Club,https://tickets.northcotesocialclub.com/outlet/event/788fe65c-2a39-49c7-b053-9d37e4ca76a1?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Northcote Social Club
46,alt-J (UK) - AN AWESOME WAVE 10TH ANIVERSARY SHOW,2023-05-02,Northcote Theatre,https://www.moshtix.com.au/v2/event/alt-j-uk-an-awesome-wave-10th-aniversary-show/141873
47,MUSIC / LIFE: ONE NIGHT PERFORMANCE  EXCLUSIVE | LIMITED ENGAGEMENT | ONE NIGHT ONLY,2023-05-03,Miscellania,https://events.humanitix.com/music-life-one-night-performance-exclusive-or-limited-engagement-or-one-night-only
48,Eliza Rose (UK),2023-05-03,The Night Cat,https://www.moshtix.com.au/v2/event/eliza-rose-uk/149215
