,Title,Date,Venue,Link
77,COBRAH (SWE),2024-01-04,Corner Hotel,https://tickets.cornerhotel.com/outlet/event/a1eca5c6-3465-46f7-a5a0-e6ae6b98832a?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Corner Hotel
78,Overmono,2024-01-04,Forum Melbourne,/shows/show.aspx?sh=OVERMONO24&v=FRM
79,The Seduceaphones,2024-01-05,Northcote Social Club,https://tickets.northcotesocialclub.com/outlet/event/40a09334-ebac-4bad-8c21-bf49e1d4d9e3?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Northcote Social Club
80,Pasiflorez,2024-01-05,Brunswick Ballroom,https://www.moshtix.com.au/v2/event/pasiflorez/159209
81,Nabihah Iqbal (LIVE),2024-01-05,The Night Cat,https://www.moshtix.com.au/v2/event/nabihah-iqbal-live/159457
82,Sugartone (EP Launch),2024-01-05,The Workers Club,https://tickets.oztix.com.au/outlet/event/a15564f3-aa01-405f-a5c3-b29b57611009?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=The Workers Club
83,CONVERGE,2024-01-05,Miscellania,https://events.humanitix.com/converge-khf9maml
84,Declan Mckenna,2024-01-05,Forum Melbourne,/shows/show.aspx?sh=DECLANMC24&v=FRM
85,‘24Rhymes,2024-01-06,The Toff in Town,https://www.moshtix.com.au/v2/event/‘24rhymes/160440
86,Brave New World,2024-01-06,Brunswick Ballroom,https://www.moshtix.com.au/v2/event/brave-new-world/157276
87,Willie J & The Bad Books,2024-01-06,Northcote Social Club,https://tickets.northcotesocialclub.com/outlet/event/86bed7d8-0765-4c0d-8c2d-277c9d1c8818?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Northcote Social Club
88,Mario Kart Live! at The Retreat Hotel Brunswick,2024-01-06,280 Sydney Rd,https://www.eventbrite.com.au/e/mario-kart-live-at-the-retreat-hotel-brunswick-tickets-771295965997?aff=ebdssbdestsearch
89,Beyonce Renaissance Album Party Melbourne The Night Cat,2024-01-06,The Night Cat,https://www.moshtix.com.au/v2/event/beyonce-renaissance-album-party-melbourne-the-night-cat/160288
90,Matinee: Dylan's Omens,2024-01-06,The Workers Club,https://tickets.oztix.com.au/outlet/event/652cd9cf-7a07-4e5d-8ff2-1cb5a1df243d?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=The Workers Club
91,Bad Ibis,2024-01-07,The Workers Club,https://tickets.oztix.com.au/outlet/event/775d661c-615a-405f-84fa-cbb219160811?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=The Workers Club
92,Domingo Latino - Quarter Street,2024-01-07,The Night Cat,https://www.moshtix.com.au/v2/event/domingo-latino-quarter-street/159946
93,"MUTATIONS pres. CCL (US / Planet Euphorique), Kasun, Kate Miller, LOIF, Mai & Suga Mum Princess",2024-01-07,Miscellania,https://events.humanitix.com/mutations-pres-ccl-us-planet-euphorique-kasun-kate-miller-loif-mai-and-suga-mum-princess
94,Destroy Lonely,2024-01-08,Forum Melbourne,/shows/show.aspx?sh=DESTROYL24&v=FRM
95,Nieuw Mondays,2024-01-08,The Workers Club,https://tickets.oztix.com.au/outlet/event/dc2b0991-a178-4add-be17-77750c566336?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=The Workers Club
96,NLE Choppa,2024-01-09,Forum Melbourne,/shows/show.aspx?sh=NLECHOP24&v=FRM
97,THE MOTH - Themeless,2024-01-10,Howler,https://www.moshtix.com.au/v2/event/the-moth-themeless/160519
98,Austin Millz Australia Tour 2024,2024-01-11,Max Watt's Melbourne,https://tickets.oztix.com.au/outlet/event/796b0eb4-9580-44b8-ace7-04b84b9be2f1?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Max Watt's Melbourne
99,BRYCE VINE (USA) - The Australia 2024 Tour,2024-01-11,Northcote Theatre,https://www.moshtix.com.au/v2/event/bryce-vine-usa-the-australia-2024-tour/159495
100,THE WHISTLIN' DONKEYS (IRE),2024-01-12,Northcote Theatre,https://www.moshtix.com.au/v2/event/the-whistlin-donkeys-ire/158734
101,OBITUARY ‘Barely Alive’ Australian / New Zealand Tour,2024-01-12,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/fafca142-71dd-4f9f-82a6-57b3e3aeeae2?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
102,The Hard Aches,2024-01-12,Northcote Social Club,https://tickets.northcotesocialclub.com/outlet/event/ed94181b-1ed8-4aea-9d51-0f0f03ade5c7?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Northcote Social Club
103,Start Making Sense: Talking Heads Tribute,2024-01-12,Max Watt's Melbourne,https://tickets.oztix.com.au/outlet/event/70c19622-957d-4be5-a09a-15ba3616a947?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Max Watt's Melbourne
104,Power Ballads,2024-01-12,Brunswick Ballroom,https://www.moshtix.com.au/v2/event/power-ballads/160343
105,DATE + VENUE CHANGED | Elita (CAN) | Australia Tour 2024,2024-01-13,The Night Cat,https://www.moshtix.com.au/v2/event/date-venue-changed-elita-can-australia-tour-2024/157481
106,Candlebox (USA),2024-01-13,Corner Hotel,https://tickets.cornerhotel.com/outlet/event/80db612d-be12-45da-aa48-00992571fdd4?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Corner Hotel
107,One Sixth & Discourse,2024-01-13,Northcote Social Club,https://tickets.oztix.com.au/outlet/event/0aaa4360-2fe5-4834-8ef3-df6ae94ad90d?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Northcote Social Club
108,Claire & The Walkmen,2024-01-13,The Workers Club,https://tickets.oztix.com.au/outlet/event/e5aa6a81-bda7-4113-a67c-c92f71f86202?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=The Workers Club
109,RETCONNED BOND - James Bond music reimagined,2024-01-13,Brunswick Ballroom,https://www.moshtix.com.au/v2/event/retconned-bond-james-bond-music-reimagined/160338
110,RAW Comedy 2024 - HEAT #1 - MATINEE,2024-01-13,Howler,https://www.moshtix.com.au/v2/event/raw-comedy-2024-heat-1-matinee/160394
111,ALLI AVENUE,2024-01-13,The Toff in Town,https://www.moshtix.com.au/v2/event/alli-avenue/159925
112,The Wildes Do Willie,2024-01-14,Brunswick Ballroom,https://www.moshtix.com.au/v2/event/the-wildes-do-willie/158791
113,Select All at The Retreat Hotel Brunswick,2024-01-14,280 Sydney Rd,https://www.eventbrite.com.au/e/select-all-at-the-retreat-hotel-brunswick-tickets-775371756797?aff=ebdssbdestsearch
114,OFF! (USA),2024-01-14,Corner Hotel,https://tickets.cornerhotel.com/outlet/event/c04b6e23-7081-4786-a21d-45dad71e7624?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Corner Hotel
115,"‘Social Sanctuary’ with Laure Briard (FR), Sunfruits + Zoe Fox and the Rocket Clocks",2024-01-15,Northcote Social Club,https://tickets.northcotesocialclub.com/outlet/event/7831adaf-825a-4d57-b1d0-d4d1638daa4e?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Northcote Social Club
116,Nieuw Mondays,2024-01-15,The Workers Club,https://tickets.oztix.com.au/outlet/event/9798db43-8deb-4b51-93b6-c73ada9de0d0?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=The Workers Club
117,Peter Cat Recording Co. - Tour Of Oceania ‘24,2024-01-16,The Night Cat,https://www.moshtix.com.au/v2/event/peter-cat-recording-co-tour-of-oceania-‘24/158469
118,Bruno Major,2024-01-17,Forum Melbourne,/shows/show.aspx?sh=BRUNOMA24&v=FRM
119,Nuum presents : Heart Tape [Mixtape Launch Party],2024-01-18,Miscellania,https://events.humanitix.com/nuum-presents-heart-tape-mixtape-launch-party
120,Salt Tree - AU Summer Tour 23/24,2024-01-18,The Workers Club,https://tickets.oztix.com.au/outlet/event/6bb598a3-c83b-4930-b704-26a097bdbb2c?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=The Workers Club
121,Damage Inc - Ride 'Em All Tour,2024-01-19,Max Watt's Melbourne,https://tickets.oztix.com.au/outlet/event/0b5c7320-ac1c-4104-9c1d-44a112c713e4?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Max Watt's Melbourne
122,Mathilde Anne & Des Cortez 'Break' Single Launch,2024-01-19,The Toff in Town,https://www.moshtix.com.au/v2/event/mathilde-anne-des-cortez-break-single-launch/159787
123,Wallis Bird (IRL),2024-01-19,Northcote Social Club,https://tickets.northcotesocialclub.com/outlet/event/c1173863-f464-4987-8a70-cffa49b6b188?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Northcote Social Club
124,The Mark Of Cain Play Ill At Ease,2024-01-19,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/e6e7dab8-5d97-45ef-8510-4f1d0192992c?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
125,Tom Nethersole (Single Launch),2024-01-19,The Workers Club,https://tickets.oztix.com.au/outlet/event/2fd84812-acb9-4926-9a01-ab605d10bc1c?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=The Workers Club
126,Matinee: Mr Muk,2024-01-20,The Workers Club,https://tickets.oztix.com.au/outlet/event/c321c7fe-b8f4-43ac-85c2-eaa596ecfbc4?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=The Workers Club
127,Ramble Tamble - The Australian Creedence Show,2024-01-20,Brunswick Ballroom,https://www.moshtix.com.au/v2/event/ramble-tamble-the-australian-creedence-show/157942
128,GREG PUCIATO (USA) Australian tour,2024-01-20,Max Watt's Melbourne,https://tickets.oztix.com.au/outlet/event/13e0ee93-8ca3-4a63-9907-85daae806e41?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Max Watt's Melbourne
129,Ivan Ooze (EP Launch),2024-01-20,Northcote Social Club,https://tickets.northcotesocialclub.com/outlet/event/a2dd38fb-8ff5-49a3-aece-1d080d65e210?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Northcote Social Club
130,Shouse,2024-01-20,The Night Cat,https://www.moshtix.com.au/v2/event/shouse/160197
131,The Talking Heads Experience,2024-01-20,Corner Hotel,https://tickets.cornerhotel.com/outlet/event/f44302fc-c523-4f74-98fb-a649a18b6df3?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Corner Hotel
132,Cosmic Psychos & ZEKE (USA) Australian Tour,2024-01-20,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/ad6aa39c-25d0-41ef-9313-ccbf7ed10742?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
133,Longboys at The Retreat Hotel Brunswick,2024-01-20,280 Sydney Rd,https://www.eventbrite.com.au/e/longboys-at-the-retreat-hotel-brunswick-tickets-775370874157?aff=ebdssbdestsearch
134,KALOPSIA: VOLUME 1.5 ft. THE REGIME (Syd) + ALEXANDER FLOOD (Adl) + SEX ON TOAST + MORE,2024-01-20,Northcote Theatre,https://www.moshtix.com.au/v2/event/kalopsia-volume-1-5-ft-the-regime-syd-alexander-flood-adl-sex-on-toast/154703
135,SOUND SYSTEM SPECIAL: EL GRAN MONO MEETS HEARTICAL HI-POWA,2024-01-20,Howler,https://www.moshtix.com.au/v2/event/sound-system-special-el-gran-mono-meets-heartical-hi-powa/160317
136,Bendy Rainbow,2024-01-20,The Toff in Town,https://www.moshtix.com.au/v2/event/bendy-rainbow/160485
137,Nu.Techno,2024-01-21,Howler,https://www.moshtix.com.au/v2/event/nu-techno/160212
138,John Floreani,2024-01-21,Northcote Social Club,https://tickets.northcotesocialclub.com/outlet/event/78f53281-16a4-42ba-9377-727196dfad21?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Northcote Social Club
139,"Brunswick Beach Party 2 with Mikelangelo, Rufino and more",2024-01-21,Brunswick Ballroom,https://www.moshtix.com.au/v2/event/brunswick-beach-party-2-with-mikelangelo-rufino-and-more/159976
140,Gracie Abrams,2024-01-22,Forum Melbourne,/shows/show.aspx?sh=GRACIEA24&v=FRM
141,Lord Huron,2024-01-22,Croxton Bandroom,https://tickets.oztix.com.au/outlet/event/fad37ea7-5a99-4d01-9b66-93669dfffe1e?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Croxton Bandroom
142,TINY HABITS (USA),2024-01-23,Howler,https://www.moshtix.com.au/v2/event/tiny-habits-usa/160335
143,Ryan Adams,2024-01-24,Forum Melbourne,/shows/show.aspx?sh=RYANADAM24&v=FRM
144,Sea Girls (UK),2024-01-25,Corner Hotel,https://tickets.cornerhotel.com/outlet/event/437cd34a-5af8-4c33-9237-7755344597d0?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Corner Hotel
145,"'Moments' Melbourne w/ Guy Mantzur, Roy Rosenfeld, Anthony Pappa & Eric Lune",2024-01-26,Howler,https://www.moshtix.com.au/v2/event/moments-melbourne-w-guy-mantzur-roy-rosenfeld-anthony-pappa-eric-lune/159696
146,The Angels (50 Years In The Making),2024-01-26,Corner Hotel,https://tickets.cornerhotel.com/outlet/event/90d10ede-4b65-43bf-b103-ad8af4926682?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Corner Hotel
147,Blackstreet & Montell Jordan,2024-01-26,Forum Melbourne,/shows/show.aspx?sh=BLACKST24&v=FRM
148,Lewis Coleman (‘Offline’ Album Launch),2024-01-27,Northcote Social Club,https://tickets.northcotesocialclub.com/outlet/event/08954bca-a5bd-4382-bc61-2f2151a537cc?utm_source=Oztix&utm_medium=Website&utm_content=search&utm_term=Northcote Social Club
149,ANBERLIN (USA) - 2ND SHOW - Performing 'Never Take Friendship Personal' and 'Cities' in Full,2024-01-27,Northcote Theatre,https://www.moshtix.com.au/v2/event/anberlin-usa-2nd-show-performing-never-take-friendship-personal-and-citi/158747
150,Lord Huron,2024-01-27,Forum Melbourne,/shows/show.aspx?sh=LORDHUR24&v=FRM
